EmployeeID,JobTitle,Salary
1,Designer,141495.97
2,Analyst,135003.86
3,Product Manager,94945.07
4,Analyst,59541.01
5,Analyst,87081.83
6,Data Scientist,116884.13
7,Product Manager,116592.24
8,Product Manager,109129.78
9,Product Manager,77472.18
10,Analyst,106124.34
11,Designer,88292.69
12,Product Manager,147171.21
13,Analyst,134891.38
14,Data Scientist,122172.95
15,Designer,73598.49
16,Data Scientist,75606.83
17,Designer,54043.36
18,Analyst,121066.29
19,Software Engineer,61089.08
20,Designer,93933.65
21,Data Scientist,70171.92
22,Analyst,139576.36
23,Designer,97537.02
24,Software Engineer,106327.56
25,Software Engineer,119551.61
26,Product Manager,63933.15
27,Product Manager,110441.74
28,Data Scientist,103984.11
29,Designer,70306.12
30,Designer,144285.36
31,Product Manager,109886.55
32,Designer,119478.49
33,Designer,138046.78
34,Software Engineer,112435.4
35,Product Manager,79563.37
36,Analyst,60549.43
37,Product Manager,95653.46
38,Analyst,71844.04
39,Software Engineer,91650.99
40,Data Scientist,138328.03
41,Designer,82434.5
42,Software Engineer,62208.8
43,Designer,85629.78
44,Data Scientist,140682.84
45,Data Scientist,77213.22
46,Software Engineer,114769.01
47,Data Scientist,50052.04
48,Analyst,85256.89
49,Data Scientist,80478.13
50,Designer,66465.59
51,Designer,103408.94
52,Designer,98483.0
53,Designer,119243.6
54,Analyst,76941.23
55,Product Manager,74412.55
56,Software Engineer,66829.1
57,Designer,71876.42
58,Data Scientist,105810.2
59,Designer,90383.62
60,Data Scientist,56489.22
61,Data Scientist,75391.54
62,Designer,74687.61
63,Analyst,119630.43
64,Data Scientist,121227.06
65,Data Scientist,64808.69
66,Designer,149774.05
67,Data Scientist,76678.1
68,Data Scientist,147661.5
69,Designer,91103.7
70,Designer,53305.07
71,Software Engineer,84507.12
72,Analyst,113435.13
73,Analyst,118070.55
74,Data Scientist,103093.46
75,Analyst,94778.32
76,Data Scientist,105289.31
77,Software Engineer,109269.67
78,Designer,58085.33
79,Designer,86965.45
80,Designer,74215.99
81,Analyst,130313.98
82,Software Engineer,97030.06
83,Analyst,148342.31
84,Analyst,89882.44
85,Software Engineer,131643.19
86,Software Engineer,129834.51
87,Software Engineer,65071.75
88,Software Engineer,100819.88
89,Designer,119581.28
90,Product Manager,135835.88
91,Product Manager,82595.89
92,Software Engineer,72024.1
93,Product Manager,121114.95
94,Product Manager,130950.1
95,Software Engineer,84866.6
96,Product Manager,59617.66
97,Analyst,144052.33
98,Data Scientist,89757.2
99,Data Scientist,101775.14
100,Software Engineer,133771.01
