user_id,movie_id,rating
856,59,2
953,71,4
776,1,5
388,38,5
470,54,2
703,66,2
220,81,5
335,27,1
511,76,5
482,49,3
812,38,4
506,62,1
765,14,5
210,100,3
898,63,2
89,88,3
621,67,1
767,79,1
763,64,2
186,60,3
231,67,1
872,34,2
776,21,4
196,89,2
220,94,5
564,49,1
421,65,4
410,57,1
631,32,3
685,27,4
80,64,1
546,38,5
223,96,3
914,33,5
787,30,3
1,79,3
135,46,1
87,22,2
939,78,1
875,45,5
307,35,1
717,95,5
13,10,2
725,48,1
647,42,1
442,24,2
916,24,4
199,54,5
223,78,5
992,35,5
888,88,3
623,45,4
66,15,4
634,8,2
117,12,5
888,29,4
639,18,2
373,83,2
292,99,5
585,76,4
705,50,3
725,51,2
353,42,4
837,44,4
53,33,2
473,16,5
87,95,5
417,73,2
67,38,5
252,84,2
857,9,5
105,74,2
706,9,1
69,65,2
185,17,3
371,95,1
860,70,1
528,92,4
901,7,5
71,89,5
781,20,4
308,55,5
677,72,4
790,5,4
470,20,5
317,8,5
378,43,5
607,3,4
190,2,4
28,91,3
657,3,5
432,5,3
575,87,5
90,28,2
175,100,1
375,10,4
86,52,4
347,37,3
882,68,5
793,50,1
157,71,4
793,19,5
921,93,4
619,16,1
930,19,1
647,61,3
804,74,5
44,97,4
659,24,2
73,89,4
435,97,5
589,57,2
96,48,5
849,63,2
841,18,1
712,25,5
228,15,2
925,32,1
468,72,5
495,10,5
976,44,5
10,69,3
621,2,4
116,27,4
625,96,3
844,8,3
486,72,5
77,25,3
962,39,1
1000,38,3
912,5,2
316,77,2
22,32,1
895,90,2
905,5,5
189,51,3
390,10,3
698,89,5
130,98,4
180,83,1
977,90,1
571,39,4
684,65,5
967,71,4
156,4,4
189,15,1
601,36,2
121,72,5
828,78,1
784,81,3
15,97,2
413,73,1
39,45,5
94,90,1
405,70,2
597,36,1
279,95,4
977,3,2
251,29,2
638,57,3
178,72,3
18,68,4
597,1,3
586,50,3
115,13,1
830,24,5
31,54,2
212,40,5
421,43,4
439,90,1
43,99,1
726,4,3
24,82,2
567,23,4
253,11,1
338,59,3
146,8,1
719,84,2
572,45,4
160,87,5
312,16,5
226,76,5
139,26,5
934,11,3
618,25,4
327,88,3
294,29,5
544,25,3
405,56,1
419,73,2
427,15,3
430,85,4
251,37,4
742,34,3
236,52,3
783,27,2
522,38,2
930,63,2
405,98,3
153,22,5
553,25,3
555,71,4
238,56,2
919,64,4
601,55,3
346,51,4
683,83,2
691,80,3
290,7,2
490,58,3
773,93,1
977,53,4
902,5,5
902,54,2
226,91,4
707,73,4
814,12,3
304,11,5
480,29,4
559,25,5
648,34,4
659,64,3
96,65,1
19,46,5
301,70,4
132,84,5
59,55,3
18,42,1
883,17,4
215,73,3
78,13,3
107,31,5
280,62,2
785,18,3
245,54,4
44,2,2
613,52,5
418,6,1
822,91,2
609,75,4
904,97,2
810,12,3
172,67,4
204,41,1
907,41,2
354,28,1
216,18,4
836,96,3
180,80,1
786,20,4
561,12,1
514,37,1
700,85,1
797,83,4
106,66,2
167,69,1
193,83,5
432,88,1
698,88,3
356,100,3
310,77,2
156,85,3
498,40,5
503,31,1
512,85,2
19,71,5
914,49,1
972,60,5
475,67,3
699,85,2
292,90,2
139,93,3
500,81,3
170,79,2
621,35,1
409,91,5
41,93,4
76,79,5
777,17,2
125,49,5
814,98,3
763,15,5
878,3,2
34,33,5
69,54,4
276,93,3
99,19,4
423,91,5
636,39,2
923,55,1
625,29,5
660,3,2
312,64,2
407,26,4
140,27,5
632,25,1
682,71,5
772,61,1
601,98,2
982,48,5
390,43,2
836,89,1
705,1,2
255,100,5
621,25,4
795,50,5
172,16,2
710,18,4
257,15,5
411,49,2
171,10,1
165,65,2
346,40,3
588,12,4
213,39,3
641,15,3
905,100,1
962,74,1
987,2,5
381,96,5
249,38,5
980,58,1
971,29,3
141,32,5
709,14,3
318,18,5
363,31,4
469,78,3
583,72,3
506,20,2
864,67,3
588,54,1
305,84,2
273,30,4
520,80,2
206,92,1
854,53,5
399,99,4
153,62,3
753,37,5
451,72,5
649,93,4
477,61,3
182,70,3
428,87,2
43,4,5
968,66,2
290,60,1
100,100,2
281,96,1
273,18,4
395,38,1
774,94,2
319,27,5
42,89,2
401,49,3
792,78,4
230,92,3
290,6,4
791,53,1
459,18,4
617,32,1
501,77,3
697,62,1
960,64,1
2,55,5
373,42,3
219,54,5
931,94,4
593,31,3
248,36,4
196,21,3
819,2,5
92,22,3
77,93,3
960,9,1
539,88,5
306,10,1
763,38,1
751,18,1
723,42,5
762,90,2
141,2,2
948,100,2
956,88,1
21,36,1
264,11,4
36,38,5
868,24,4
735,77,1
354,35,5
747,40,1
183,16,1
629,65,5
963,79,2
528,24,1
339,5,5
599,10,1
446,74,1
124,3,5
620,80,3
972,45,4
711,29,5
937,12,5
158,38,5
431,24,1
438,54,2
110,85,2
548,61,4
300,33,1
185,100,5
495,99,2
247,97,5
263,5,2
985,12,4
175,92,4
28,44,3
298,30,5
907,35,2
62,38,3
426,87,3
410,68,1
713,57,2
772,11,2
44,58,5
209,31,4
476,97,2
280,70,2
624,69,1
937,13,1
302,14,2
822,44,4
658,60,1
766,1,1
935,76,1
833,26,1
310,49,5
155,91,5
697,25,2
947,29,5
861,46,4
717,22,3
10,41,2
330,49,4
963,61,5
54,79,1
457,90,2
820,43,4
598,13,1
541,98,1
685,35,3
187,50,3
161,100,1
633,48,1
609,3,3
540,13,5
578,9,5
262,14,2
540,6,2
677,63,3
433,14,1
350,19,1
627,10,2
261,40,1
507,14,4
826,61,3
997,78,5
25,93,3
600,17,4
651,8,5
560,10,1
458,41,1
531,33,2
867,12,3
607,3,2
189,99,2
247,8,4
410,2,4
593,98,3
653,77,5
197,88,5
363,64,3
97,79,5
327,90,3
446,1,5
462,37,4
575,99,4
624,86,1
652,22,4
775,74,1
192,28,4
368,51,3
612,24,1
762,7,5
357,97,1
617,56,1
949,86,4
882,44,3
844,100,4
292,33,1
584,100,4
988,96,2
964,87,2
393,83,3
63,45,3
227,55,5
990,32,4
675,28,4
993,45,5
430,44,3
49,96,4
341,21,3
910,20,5
551,47,4
209,62,4
368,72,5
576,69,3
8,71,4
414,57,3
98,72,4
442,76,2
326,46,4
960,52,3
848,20,1
465,49,1
472,86,2
664,36,2
94,56,1
647,34,3
603,47,5
782,47,5
660,19,2
961,93,3
883,67,2
512,4,1
219,8,5
187,76,5
98,26,4
3,98,4
320,70,1
300,12,2
369,99,1
11,85,5
900,21,4
983,56,1
52,57,2
568,48,2
723,79,4
392,61,4
288,86,4
665,58,5
368,80,2
10,97,2
329,49,5
571,18,1
580,47,3
119,53,1
504,28,5
243,56,4
82,63,3
67,18,1
927,51,1
404,37,5
27,58,2
180,78,1
138,58,4
725,22,1
393,47,3
231,63,4
381,47,4
155,33,3
548,17,3
333,61,2
534,81,4
954,44,4
430,11,5
584,10,4
251,86,5
415,5,5
435,51,1
788,31,5
726,52,1
944,58,1
438,55,3
301,18,5
178,76,2
535,51,5
424,50,5
360,23,4
510,61,5
129,30,5
431,32,3
581,21,4
977,55,4
586,81,3
188,92,2
684,64,4
3,84,2
492,23,4
265,72,5
584,48,5
603,99,2
558,37,3
51,98,1
826,52,4
141,83,4
666,34,3
515,19,3
147,97,2
173,9,1
536,41,3
165,11,5
273,85,3
136,54,1
32,14,5
597,28,2
327,19,3
647,89,4
174,31,2
282,90,5
520,67,4
861,25,1
322,24,1
478,49,4
832,88,4
867,49,4
53,99,3
697,72,4
423,92,1
745,24,2
666,23,1
674,49,1
93,51,3
319,22,5
904,61,3
201,89,1
801,15,4
447,76,4
303,48,2
27,34,1
58,41,2
7,36,5
420,25,4
147,75,4
529,15,3
704,55,5
115,34,5
798,63,4
676,48,1
390,87,3
697,18,2
207,86,3
209,84,1
233,44,5
24,19,3
567,94,5
265,65,5
385,77,3
911,84,4
529,1,1
646,13,1
992,43,5
805,30,4
354,34,4
143,27,2
46,50,3
899,15,3
239,97,4
669,18,2
601,99,2
82,80,2
480,60,1
132,3,5
39,78,4
181,67,1
133,16,3
216,87,2
460,75,4
576,29,2
498,31,4
302,61,3
134,47,4
5,32,5
192,12,2
814,76,4
284,36,4
164,91,1
484,75,2
310,6,5
980,29,4
711,97,3
215,12,2
793,65,1
599,61,2
37,59,1
371,81,5
929,58,2
903,8,1
481,43,5
699,37,2
633,92,5
187,15,5
405,11,2
350,7,1
935,99,3
717,36,5
553,59,3
669,98,1
89,84,4
141,73,1
656,25,1
539,95,5
578,78,3
45,7,1
792,30,2
863,25,3
532,62,4
180,9,3
984,73,2
417,44,1
696,3,5
276,89,5
582,45,1
372,12,1
151,39,1
49,46,4
268,80,3
164,17,1
969,90,3
776,10,3
37,85,1
649,10,2
292,2,5
412,60,5
616,49,1
359,30,3
344,24,5
563,69,5
866,38,5
30,3,5
528,19,1
145,29,1
407,79,3
783,16,3
370,92,3
91,94,4
702,63,1
669,10,1
215,97,1
279,93,2
108,85,3
435,31,3
250,20,4
216,96,2
977,57,4
335,73,4
564,88,5
526,44,5
991,48,1
456,62,3
425,21,3
262,65,5
12,32,1
677,10,4
944,66,1
261,16,5
656,67,5
652,96,3
227,93,1
305,13,3
919,16,1
504,23,3
773,32,2
153,32,1
426,25,2
178,9,4
136,89,4
5,33,5
86,25,3
760,84,4
708,52,2
67,40,3
860,40,5
538,45,3
560,49,1
858,55,1
837,29,4
343,41,1
911,26,3
656,19,3
37,24,2
95,4,4
149,33,3
658,44,1
331,49,4
278,77,4
155,99,3
682,28,4
85,89,4
803,49,5
888,65,3
3,38,3
247,6,3
416,27,1
930,57,2
989,51,5
70,13,1
603,55,2
96,3,4
549,44,3
1,78,1
674,84,4
268,59,4
842,67,1
623,62,2
382,40,1
923,86,4
579,56,2
974,19,3
146,63,4
336,88,3
292,22,3
569,84,5
654,25,3
850,60,1
535,25,4
712,49,2
823,54,3
408,6,3
197,38,1
285,11,5
696,84,1
977,98,2
467,95,2
701,17,4
382,31,4
488,49,2
674,96,2
577,3,1
524,86,2
106,98,3
662,79,4
828,44,1
773,15,3
684,52,4
754,3,4
749,98,2
708,36,3
664,25,3
591,78,3
577,77,2
597,54,3
817,89,2
313,42,5
378,46,2
880,41,5
427,18,2
214,29,5
588,48,5
59,83,1
760,100,4
944,72,4
549,97,3
677,45,2
977,51,1
201,95,3
428,69,4
954,37,3
589,83,3
730,18,2
590,94,4
454,73,4
252,59,1
61,58,5
729,80,5
745,75,5
627,22,3
728,29,2
105,3,4
96,57,2
611,84,2
104,32,2
968,36,4
123,60,3
979,52,2
991,50,5
578,65,5
825,53,1
80,84,1
210,83,2
298,85,5
991,28,4
642,28,3
440,52,2
854,18,5
325,54,4
562,14,3
707,50,2
88,52,5
594,42,1
297,43,5
610,60,3
586,69,4
852,15,4
55,19,2
304,64,5
69,87,4
123,90,2
194,80,5
596,98,5
525,64,2
818,7,2
505,41,2
337,4,1
267,98,4
164,79,4
250,37,5
528,87,1
781,18,5
157,84,2
641,96,2
127,80,1
494,33,1
644,85,5
418,61,1
764,73,1
25,36,1
284,99,3
540,90,2
732,55,3
835,97,3
136,73,1
596,64,4
905,9,1
528,29,3
55,9,2
658,47,2
597,60,3
350,51,4
530,33,1
825,67,5
221,2,1
689,91,2
973,39,1
579,58,5
428,26,1
703,89,2
157,4,4
900,47,4
325,37,2
277,34,4
841,15,1
349,60,1
9,6,1
984,86,3
260,64,4
245,33,4
812,81,2
464,65,3
943,67,5
290,14,2
466,75,5
670,6,3
333,94,2
621,21,5
777,83,1
860,73,3
482,3,5
818,3,5
155,70,2
751,93,4
124,80,3
465,59,1
793,71,1
852,15,2
334,99,2
387,38,2
264,29,5
989,61,1
672,45,1
643,10,1
12,74,1
112,23,5
613,95,2
4,18,3
436,15,5
674,8,2
812,2,4
891,51,4
363,71,3
745,94,4
410,41,1
634,80,1
438,49,5
21,16,2
709,82,2
778,66,2
414,52,4
408,44,5
534,49,2
25,65,2
725,69,4
905,99,5
151,31,3
574,58,4
711,26,2
235,56,2
359,54,3
424,62,3
774,3,1
959,31,2
609,43,5
56,37,1
660,66,5
225,26,1
163,52,3
928,49,5
612,45,4
150,52,5
421,18,3
570,16,3
13,52,3
826,88,5
557,71,2
915,36,4
663,68,5
748,21,4
22,72,2
895,19,5
893,10,3
673,86,4
270,87,3
654,73,3
116,13,4
671,5,1
231,34,5
47,16,3
366,83,2
780,58,1
588,42,2
73,42,4
987,72,5
207,90,4
60,62,3
399,14,2
344,59,5
428,18,4
137,12,2
580,68,2
454,11,1
348,94,1
844,44,2
997,38,1
690,12,5
175,27,4
810,92,4
418,96,2
535,53,3
752,61,1
505,56,4
31,30,5
343,79,2
231,49,4
505,71,3
456,7,2
55,98,3
444,85,2
194,11,2
366,2,2
11,31,2
666,1,2
673,29,4
150,65,2
293,69,2
301,5,5
320,49,4
541,81,5
378,12,3
487,46,3
128,37,1
394,72,2
214,90,2
192,65,5
475,17,2
868,86,5
841,49,2
720,71,2
334,17,2
792,23,1
219,85,5
231,36,1
256,3,3
715,19,3
179,89,5
995,3,5
764,69,5
640,75,5
15,10,1
223,14,1
28,1,5
79,63,5
949,82,4
71,45,4
481,46,3
168,94,4
721,63,3
216,60,5
100,7,1
67,4,1
329,31,2
123,18,2
846,57,1
688,71,2
640,46,5
807,70,2
304,65,4
66,15,1
898,67,1
284,61,5
981,52,3
680,49,4
698,68,2
34,10,3
287,46,4
824,44,1
114,63,5
288,56,5
484,60,5
740,59,1
667,50,2
803,40,3
805,36,3
871,16,5
899,68,4
957,81,2
655,50,3
702,26,4
883,61,1
6,18,1
885,99,5
122,15,2
905,14,1
491,20,5
831,87,1
950,5,4
272,3,1
724,49,3
363,90,3
628,82,4
370,30,1
814,87,3
169,98,1
44,19,1
667,99,4
132,50,5
609,42,3
108,14,2
936,70,1
412,30,4
861,44,5
454,46,5
13,18,2
754,3,2
65,78,1
738,41,2
799,71,5
567,46,3
216,80,1
341,56,1
215,62,5
738,86,1
763,4,5
492,31,2
641,31,5
556,86,3
331,14,1
555,28,3
518,97,1
946,58,1
25,11,3
349,6,1
125,71,2
346,74,5
929,44,5
352,31,5
277,46,5
453,78,2
618,28,1
594,62,3
380,87,5
940,11,2
630,86,2
541,64,4
56,32,5
767,16,4
321,70,4
906,80,4
549,80,2
462,72,2
54,20,1
631,49,3
245,39,3
335,8,2
766,55,2
769,99,2
240,71,1
611,59,2
711,16,2
468,25,2
374,5,1
158,73,2
772,57,2
409,28,1
628,76,4
735,62,2
367,9,5
764,55,4
707,58,2
165,66,1
669,20,4
83,2,1
511,37,3
263,9,2
706,1,2
243,81,5
875,1,5
500,91,5
222,56,1
889,45,3
892,24,3
533,68,2
254,17,1
654,64,5
409,50,4
804,21,4
974,23,3
425,75,1
846,35,4
716,59,4
583,39,3
254,63,4
416,51,5
447,39,5
723,20,4
202,36,2
54,14,3
582,86,5
930,96,3
449,81,5
541,56,5
269,29,3
744,8,2
676,26,4
282,84,4
736,77,1
409,67,2
524,14,1
764,5,2
373,55,1
25,97,2
127,90,5
411,5,2
133,9,3
148,47,5
325,42,2
787,39,4
691,15,1
161,44,3
220,14,4
785,22,5
291,95,4
799,66,2
890,81,2
121,65,2
68,98,4
133,70,2
861,54,5
935,34,3
66,9,2
838,100,4
618,16,4
124,90,1
862,46,2
306,59,5
6,33,3
170,38,4
139,49,3
749,31,1
653,98,2
118,70,4
909,95,4
448,90,3
914,80,4
497,45,5
290,71,2
888,100,1
