Red,Green,Blue,NIR,SWIR,Land_Cover
133.8163570272436,154.5405988417796,123.86686453121385,176.1339603563426,164.00440779576908,Urban
125.8363755259462,179.33627943827446,107.60449249090792,76.2011360420849,224.9076549263182,Barren
35.128413161287135,70.0935797584998,64.7550599323106,223.20285830451112,90.863276256657,Agriculture
98.24956552523128,144.97481992139979,11.228227980045006,168.7544102045407,77.25442280174838,Urban
106.03912375717141,134.34919662874972,104.28545216115465,87.98570669260627,166.9318556584446,Forest
109.7645561793801,186.56607535765423,64.26893782682619,301.3989406524177,248.7395172052579,Forest
146.03447384546644,201.2174120962521,149.57557713500165,176.7241682908756,137.14952925785838,Forest
136.7205093453757,22.431354295477362,14.549790401391864,55.30867489304755,137.99947943485762,Agriculture
151.58101855868892,154.80398381175854,121.11728414810027,51.86339808822279,51.509064470072836,Water
182.97665230842566,30.367159823945805,188.88010512615242,93.17177047269016,284.1230506587822,Agriculture
192.5971477432187,129.77173301547117,43.137760751184906,250.45265418488117,225.754844897371,Forest
173.62461524529888,77.52654580873565,99.61340324261312,211.74263544890005,259.05155825397617,Barren
221.10473919098695,81.35531990442824,27.37017844525625,245.578944729479,63.38569017558427,Agriculture
33.646516535272326,90.59170069047131,128.879563329657,168.26752719969318,73.70021038968007,Forest
69.15559713670922,144.25848980992203,114.60101931328286,159.04260145815812,177.9882303069906,Forest
31.512574995628423,86.80999313375384,87.39944960043815,221.3790813437532,222.32105226010844,Forest
159.4949428309206,166.53981011805607,109.06163408001083,67.81883783180459,109.90131188442098,Urban
209.6061097899974,100.90547711477394,180.34918510911194,154.85225789655607,100.23432848718593,Urban
78.69645931525986,33.67064006199172,47.29591743910274,154.7119960274787,215.2649178700522,Urban
215.40690895926133,176.75196849682146,14.287257224015974,58.78935579018132,61.84018930917863,Urban
42.05347805791217,77.1516649185412,173.71632809282917,27.559241632999306,35.214156076823805,Water
216.88720536110287,106.55337591985253,119.65224565370224,244.36361943280875,156.21993674438926,Forest
100.32453744792689,157.08877664438032,179.22510653775007,219.79226061887866,167.67322161356793,Urban
50.284165689843306,86.4912314297424,123.41959244850278,60.83990963313301,203.00918292648313,Urban
127.17435183726512,31.317131229343126,163.93060709234348,59.05138537704448,124.51760192043822,Urban
81.35531354410159,94.78420940256272,91.6379390374781,95.16605017040641,198.38416108943517,Agriculture
86.97458039238457,208.88971653886068,152.47338694477108,282.4415192667635,172.9288387861008,Forest
91.4579929852573,148.34687945971163,183.47787870907263,67.06954286543478,164.9993811372869,Urban
190.60517956653268,154.2958297334414,118.70336310721919,191.1993285517637,184.50149155986455,Urban
137.8322553350509,146.45643072752796,44.349178606852114,67.84542033586487,104.48432592429603,Forest
92.26153983120074,59.798427791887356,61.07154685573765,67.94767188099631,19.09712932695996,Water
152.06675666218368,103.66677282045603,47.7424696105071,146.2577260389128,75.04705112834611,Forest
173.2301348446387,170.18795967266365,56.90283524318925,246.18898550155927,97.16230035731922,Forest
84.52480014670675,40.27457951063183,68.21893537669692,89.07499425332637,155.04156645978492,Barren
112.70982030507031,75.57055521794246,115.47541948310581,174.23238417189157,226.49297761466423,Barren
54.37721866738951,75.26382169317073,121.71840959812823,89.49333226093583,223.02691778399233,Agriculture
66.22986990693606,106.4037855189012,91.03495197595362,189.86865945355228,215.6985268824299,Urban
166.22357079299655,216.073748188437,126.92994816595873,268.9552277227495,123.70488102447919,Forest
66.28766953912539,33.50050933676439,25.499235866159523,20.96044852423465,49.84580496508572,Water
135.03267673341202,123.74019887611901,26.679765041050395,221.98509460505574,132.67319605802868,Urban
171.80925234448654,55.87293640244209,42.64759746795511,184.8874695274493,90.29336872494531,Forest
